Dates,Open Price,High Price,Low Price,Close Price
26-10-1982,133.29,134.48,131.5,134.48
27-10-1982,134.48,135.92,134.48,135.28
28-10-1982,135.28,135.42,133.59,133.59
29-10-1982,133.54,134.02,132.64,133.71
01-11-1982,133.72,136.03,133.22,135.47
02-11-1982,135.48,138.51,135.48,137.49
03-11-1982,137.53,142.88,137.53,142.87
04-11-1982,142.85,143.99,141.65,141.86
05-11-1982,141.85,142.43,141.32,142.16
08-11-1982,142.12,142.12,139.98,140.44
09-11-1982,140.48,143.16,140.46,143.02
10-11-1982,143.04,144.36,140.8,141.16
11-11-1982,141.15,141.76,139.88,141.76
12-11-1982,141.75,141.85,139.53,139.53
15-11-1982,139.54,139.54,137,137.03
16-11-1982,136.97,136.97,134.05,135.42
17-11-1982,135.47,137.93,135.47,137.93
18-11-1982,137.93,138.78,137.47,138.34
19-11-1982,138.35,138.93,137,137.02
22-11-1982,137.03,137.1,134.21,134.22
23-11-1982,134.21,134.28,132.89,132.93
24-11-1982,132.92,133.88,132.92,133.88
26-11-1982,133.89,134.88,133.89,134.88
29-11-1982,134.89,135.29,133.69,134.2
30-11-1982,134.2,138.54,134.19,138.54
01-12-1982,138.56,140.37,138.35,138.72
02-12-1982,138.72,139.63,138.66,138.82
03-12-1982,138.87,139.59,138.59,138.69
06-12-1982,138.7,141.77,138.01,141.77
07-12-1982,141.79,143.68,141.79,142.72
08-12-1982,142.71,143.58,141.81,141.81
09-12-1982,141.8,141.8,139.92,140
10-12-1982,139.99,141.15,139.35,139.57
13-12-1982,139.57,140.12,139.5,139.95
14-12-1982,139.99,142.5,137.34,137.39
15-12-1982,137.4,137.4,135.12,135.24
16-12-1982,135.22,135.78,134.79,135.3
17-12-1982,135.35,138.57,134.84,137.49
20-12-1982,137.49,137.84,136.19,136.26
21-12-1982,136.24,139.27,136.07,138.61
22-12-1982,138.63,139.69,138.6,138.83
23-12-1982,138.84,139.94,138.84,139.72
27-12-1982,139.73,142.32,139.72,142.18
28-12-1982,142.18,142.34,140.75,140.77
29-12-1982,140.77,141.73,140.68,141.24
30-12-1982,141.24,141.68,140.22,140.33
31-12-1982,140.34,140.78,140.27,140.64
03-01-1983,140.65,141.33,138.2,138.34
04-01-1983,138.33,141.36,138.08,141.35
05-01-1983,141.35,142.6,141.15,141.96
06-01-1983,142.01,145.78,142.01,145.27
07-01-1983,145.27,146.46,145.15,145.18
10-01-1983,145.19,147.25,144.58,146.78
11-01-1983,146.79,146.83,145.38,145.78
12-01-1983,145.76,148.36,145.76,146.69
13-01-1983,146.67,146.94,145.67,145.72
14-01-1983,145.72,147.12,145.72,146.65
17-01-1983,146.65,147.9,146.64,146.71
18-01-1983,146.71,146.74,145.52,146.4
19-01-1983,146.4,146.45,144.51,145.27
20-01-1983,145.29,146.62,145.29,146.29
21-01-1983,146.3,146.3,143.25,143.85
24-01-1983,143.84,143.84,139.1,139.97
25-01-1983,139.98,141.75,139.98,141.75
26-01-1983,141.77,142.16,141.16,141.54
27-01-1983,141.54,144.3,141.54,144.27
28-01-1983,144.31,145.47,144.25,144.51
31-01-1983,144.51,145.3,143.93,145.3
01-02-1983,145.29,145.29,142.96,142.96
02-02-1983,142.95,143.52,141.9,143.23
03-02-1983,143.25,144.43,143.25,144.26
04-02-1983,144.26,146.14,144.14,146.14
07-02-1983,146.14,147.42,146.14,146.93
08-02-1983,146.93,147.21,145.52,145.7
09-02-1983,145.7,145.83,144.09,145
10-02-1983,145.04,147.75,145.04,147.5
11-02-1983,147.51,148.81,147.18,147.63
14-02-1983,147.71,149.14,147.4,148.92
15-02-1983,148.94,149.41,148.13,148.3
16-02-1983,148.31,148.66,147.41,147.43
17-02-1983,147.43,147.57,146.36,147.44
18-02-1983,147.44,148.29,147.21,148
22-02-1983,148.01,148.11,145.42,145.48
23-02-1983,145.47,146.79,145.4,146.79
24-02-1983,146.8,149.67,146.8,149.6
25-02-1983,149.6,150.88,149.6,149.74
28-02-1983,149.74,149.74,147.81,148.06
01-03-1983,148.07,150.88,148.07,150.88
02-03-1983,150.91,152.63,150.91,152.3
03-03-1983,152.31,154.16,152.31,153.48
04-03-1983,153.47,153.67,152.53,153.67
07-03-1983,153.67,154,152.65,153.67
08-03-1983,153.63,153.63,151.26,151.26
09-03-1983,151.25,152.87,150.84,152.87
10-03-1983,152.87,154.01,151.75,151.8
11-03-1983,151.75,151.75,150.65,151.24
14-03-1983,151.28,151.3,150.22,150.83
15-03-1983,150.83,151.37,150.4,151.36
16-03-1983,151.36,151.62,149.78,149.8
17-03-1983,149.8,149.8,149.12,149.59
18-03-1983,149.59,150.29,148.56,149.9
21-03-1983,149.82,151.21,149.32,151.19
22-03-1983,151.21,151.59,150.6,150.66
23-03-1983,150.65,152.98,150.65,152.81
24-03-1983,152.82,153.78,152.82,153.37
25-03-1983,153.37,153.71,152.3,152.67
28-03-1983,152.67,152.67,151.56,151.85
29-03-1983,151.85,152.46,151.42,151.59
30-03-1983,151.6,153.39,151.6,153.39
31-03-1983,153.41,155.02,152.86,152.96
04-04-1983,152.92,153.02,152.23,153.02
05-04-1983,153.04,153.92,151.81,151.89
06-04-1983,151.9,151.9,150.17,151.04
07-04-1983,151.04,151.77,150.81,151.76
08-04-1983,151.77,152.85,151.39,152.85
11-04-1983,152.87,155.14,152.87,155.14
12-04-1983,155.15,155.82,154.78,155.82
13-04-1983,155.82,157.22,155.82,156.77
14-04-1983,156.8,158.12,156.55,158.11
15-04-1983,158.11,158.75,158.11,158.75
18-04-1983,158.75,159.75,158.41,159.74
19-04-1983,159.74,159.74,158.54,158.71
20-04-1983,158.71,160.83,158.71,160.71
21-04-1983,160.73,161.08,159.96,160.05
22-04-1983,160.04,160.76,160.02,160.42
25-04-1983,160.43,160.83,158.72,158.81
26-04-1983,158.81,161.81,158.07,161.81
27-04-1983,161.85,162.77,160.76,161.44
28-04-1983,161.44,162.96,161.44,162.95
29-04-1983,162.97,164.43,162.72,164.42
02-05-1983,164.41,164.42,161.99,162.11
03-05-1983,162.1,162.35,160.8,162.34
04-05-1983,162.38,163.64,162.38,163.31
05-05-1983,163.35,164.3,163.35,164.28
06-05-1983,164.3,166.99,164.3,166.1
09-05-1983,166.1,166.46,164.9,165.81
10-05-1983,165.82,166.4,165.74,165.95
11-05-1983,165.95,166.3,164.53,164.96
12-05-1983,164.98,165.35,163.82,164.25
13-05-1983,164.26,165.23,164.26,164.9
